gene,D7_log2FC,D14_log2FC,D7_padj,recovery_ratio
Fanci,2.36858021425175,0.780499151646699,0.032817392612302,0.6704780581419896
Sh2d1b1,2.32265574092975,1.1521648811453,0.0002454341382757,0.5039450484021826
Ahnak,2.30051810533181,1.05472565188831,0.0004079421036536,0.5415269067242642
Adgre5,2.26010710545886,1.10299498113689,0.0301184240084274,0.5119722519022152
Cbr2,2.24445192396088,-0.487490015314334,0.0363421710907978,0.7828022021277963
Phlda1,2.20752069237568,1.07807578519668,0.0184168363030197,0.5116350261539424
Adamtsl4,2.20344535208626,0.461927842094221,0.0309352883584601,0.790361108045244
Nlrc4,2.19809010269195,0.435135200923943,0.0272504415188485,0.8020394157677873
Bend4,2.18473468334238,-0.161960652452687,0.0006284410904301,0.9258671299139597
Pole2,2.17764578633043,-0.604806158197594,1.32511049847087e-05,0.7222660535546701
Cln6,2.17398946679883,0.61823353280864,2.17412791982477e-10,0.715622572118999
Pmf1,2.15363365775387,0.122226803654105,2.6578653584523e-11,0.9432462418972495
Hscb,2.13971314389214,1.0184945279985,0.0025532521412418,0.5240041727528684
Spc25,2.13331282828612,-0.514535285128832,0.0053730207381576,0.7588092668330298
Angptl4,2.11016627327222,-0.354027890529426,0.0348893889819241,0.8322274907842038
Bub1,2.10041590636589,0.0553379237974904,0.0234673575515268,0.9736538255924584
Ifi27l2a,2.09739992540875,0.856945465269784,0.0246465196142299,0.5914248613779373
Bst2,2.08936135652196,0.943946282383973,2.14873654773776e-05,0.548213008038348
Tmem38b,2.07779690693347,-0.0558321449135836,2.14735135933099e-05,0.9731291616003107
Dab2,2.04085909894278,0.981504597333399,0.0212056123508748,0.5190728268101189
Clec10a,2.04029970809067,-0.525767177691765,0.0193632493312843,0.7423088502111377
S100a10,2.02875567946477,-0.344172114010119,0.0406164017183783,0.8303530989493426
Knstrn,2.01904471082822,-0.273484193815949,0.0163762614782827,0.8645477277698498
Tacc3,2.00672197665362,0.551838351634612,0.000251074779436,0.7250050789024349
Chaf1a,1.99578989230335,-0.779609238793356,0.0161900704637572,0.6093730899230051
Cyp4f17,1.9667454537217,-0.0833246643772688,0.0339462798003189,0.9576332238523331
Cenpa,1.94432123858507,-0.645962198622164,0.0181011342911224,0.6677698181745695
Sephs2,1.94274348578311,0.209566136942541,0.0008914006982854,0.8921287661103309
Akr1a1,1.92806256201399,0.884889753604577,5.14747202814204e-12,0.5410471781163311
Gda,1.92286467531726,-0.230316222859183,0.0467163082837591,0.8802223443929135
Paox,1.92212142945209,0.848108219249795,1.34528724531203e-05,0.5587644951799158
Slc43a3,1.91992929802336,0.0949560217327413,2.51467237544079e-05,0.9505419174390942
Slc39a1,1.90417277453168,0.0579854070974619,0.0492874301360345,0.9695482427471829
Dck,1.88574460586654,0.0382314537552586,1.2773393058259801e-09,0.9797260702025499
Racgap1,1.87015252326323,-0.38384076995234,0.0012565811260806,0.7947542966802643
Bambi,1.85187977915672,-0.53059716982027,0.0007481522203739,0.7134818492041178
Actb,1.84952308677845,-0.557043343626513,0.0401538609349722,0.6988178479043555
