gene,D1_fc,D4_fc,D7_fc,D14_fc,D1_padj,D4_padj,D7_padj,D14_padj,peak_timepoint,direction,pattern
Dlx1as,-1.58478340770448,-3.61946836007128,-3.28856843464521,-0.0925156427791987,0.335883724965069,0.0023680094172388,0.0127948904299676,0.981655696870595,D4,down,other
Ethe1,1.17320239659259,2.1541950001607,2.26577662570269,1.67765222948826,0.0604403276108823,5.89376532345172e-05,3.29561528024352e-05,0.0034099234169896,D7,up,other
Txlnb,4.13319508798493,-0.204001161316961,1.16614225299828,2.21735804754517,0.0043978999947706,0.940164748824749,0.444361482849374,0.154453812377294,D1,up,acute_D1
E330013P04Rik,-0.133353113645877,-0.806904611589307,-7.72781253722765,2.09931249591877,0.993052047397319,0.824532654091958,0.0014486358162851,0.431126275231186,D7,down,other
Snrpc,0.703886657109215,1.04443611747394,0.718701936034055,-0.0450548827124843,0.0388949281806047,0.0006362733165244,0.0302006145763387,0.952541230554892,D4,up,subacute_D4
Slc25a46,0.278644467925155,-0.0087380123490238,-0.115408201937064,-1.16120934424446,0.653422402936587,0.992447292768789,0.81468758946296,0.002783059694997,D14,down,late_D14
Gsto1,1.32158352522219,2.04011338912161,2.21634146627384,2.00956948163265,7.81806619331088e-08,9.550024665342571e-19,1.01523178270692e-21,2.2398537393016902e-17,D7,up,sustained_up
Gm37333,-0.540162743168941,-1.04244582338322,-3.91762531559492,-2.55151755605717,0.681535251273718,0.278092402250456,0.0001277432421135,0.0013834059430608,D7,down,late_D14
Ptbp2,-0.156896484290812,-1.18855417296596,-0.819558006004208,-1.49976153659225,0.917240829580952,0.0687069477440806,0.208753076938107,0.0178507588029213,D14,down,late_D14
Fbxo17,-1.2914482458445,-0.0045741615316358,-0.701599384910666,-4.68579174112927,0.0007311689234762,0.996838448736948,0.110754041027939,5.9463258995128605e-09,D14,down,acute_D1
Capns1,0.773071355296226,1.43094809974528,1.05218278353113,-0.0458371752433739,0.388873524090243,0.0452022413471124,0.145042287947499,0.984913899669081,D4,up,subacute_D4
Hnrnpm,0.65988962286255,0.50260221159865,0.883327505729535,0.393361862893817,0.167908922568036,0.304025620709419,0.0387547790760889,0.45347197340433,D7,up,other
Maged2,0.34632799351399,-0.298616773021396,-0.485143883292212,-0.750046586734426,0.423041582383943,0.482941390964358,0.156080607630412,0.0286309473872852,D14,down,other
Gm43848,-1.09885930588461,0.475585959769732,-1.71301487755244,-3.70284510956603,0.501612015855285,0.80086785894714,0.169566545267352,0.0017295149757234,D14,down,late_D14
Srp19,1.53408138793795,0.647086015535365,0.413842224359764,0.133131845824866,0.0056382519434203,0.33072159379197,0.506334005116117,0.902409280348435,D1,up,acute_D1
Gm13370,-33.2349660114144,3.65870864386497,-32.2317010933692,0.0,1.01037973039457e-06,0.749053095629195,4.155985842595e-06,1.0,D1,down,other
Gm8437,5.51739725144625,-1.32034172556362,-3.06027541644334,-2.86486405344593,0.0063354961468362,0.552777146162238,0.123958419137068,0.0933017223715749,D1,up,acute_D1
Pbx1,-2.08534441121009,-2.91739853017904,-1.41354932445641,-1.4795113414505,0.009063037449451,6.48531441341122e-05,0.0820386124423785,0.0797666414546933,D4,down,acute_D1
Gm15559,-2.9352326278855,-0.963004466741837,-0.920612550174913,1.0999341488884,0.0108817277370642,0.495198333994566,0.435061030251962,0.446085589599079,D1,down,acute_D1
Apba1,-2.54511317397804,-2.87093182354082,-0.936750235239694,-1.83270912575439,0.0021988005433491,0.0002821074276861,0.295484602699621,0.0383100129349755,D4,down,acute_D1
Siglece,-1.74862953973011,-1.63811226603431,-1.82181792442333,-0.792139924551534,0.0648409656540967,0.0763389457809702,0.043354195834587,0.478029435647432,D7,down,other
Tmem186,-1.26462552137647,-0.765184785159479,-0.521326036443076,-0.495571617717845,0.0089794272086908,0.14794718291988,0.309426036212876,0.404850188108296,D1,down,acute_D1
Hap1,-2.25783238399701,-1.79555487413043,-0.503260082335922,-3.68500010732653,0.155763341570789,0.251644330063227,0.765309580811618,0.0087994825749942,D14,down,late_D14
