category,gene,D1_fc,D4_fc,D7_fc,D14_fc,pattern
Cholesterol,Abcg1,0.27778703809674,1.23475618623526,2.13815964341131,1.48355452038803,D7_peak_resolve
DHA_PUFA,Mfsd2a,-2.97082383686,-2.46607604159372,-4.49185178999999,-3.97518615427463,other
DHA_PUFA,Elovl2,-2.15792987496703,-2.66704576019919,-2.7794410561339,-0.578824924397335,not_sig
DHA_PUFA,Elovl4,-1.00369765403315,-3.5753336466679,-0.603720860735503,-1.89141233123887,other
DHA_PUFA,Elovl5,0.0497196693591808,-0.87411320587514,0.190450354642164,0.0835803331671218,not_sig
DHA_PUFA,Fads1,-0.731037574098486,-2.268206007989,-0.567781162546926,-0.616625379733646,other
DHA_PUFA,Fads2,-2.52855641715035,-3.43917246279132,-2.0782391438313,-1.5576123501345,other
DHA_PUFA,Pla2g4a,1.16701668113344,1.17481805381081,-0.277367180636017,-0.770948341724857,subacute_D4
DHA_PUFA,Alox5,-0.69788393432185,-0.143482903689412,-1.19989157761707,-0.67455509627932,not_sig
DHA_PUFA,Alox12,-0.582066122948514,0.441597623480067,0.17090323403317,1.79557764191777,not_sig
DHA_PUFA,Alox15,0.831820022000063,5.38694708295054,0.089220208910274,-0.535030480060144,subacute_D4
DHA_PUFA,Ptgs1,-1.73559096804577,-1.31440088373649,-1.59545389795059,-0.916894033065187,acute_D1
DHA_PUFA,Ptgs2,5.59298036301464,3.77085278057342,3.20980618192141,1.48634033603258,D7_peak_resolve
Sphingolipid,Smpd1,-0.598592865624353,-0.795227816813759,-0.469938647077354,-1.4287978652489,not_sig
Sphingolipid,Smpd3,-0.0618473362450857,-3.47730153962249,-2.07888111567485,-2.15271197033757,other
Sphingolipid,Asah1,-0.181175411999421,0.417667735213409,0.749061463772996,0.588533099839311,not_sig
Sphingolipid,Cers2,0.7818494675109,0.532612355290627,0.491729743706203,0.455849756548836,not_sig
Sphingolipid,Cers6,0.883776667351698,0.459621288072558,0.842273004863269,2.32947304579528,late_D14
Sphingolipid,Sphk1,5.00096215254112,0.844054576561504,-0.163344840406497,-1.94788997618125,acute_D1
Sphingolipid,Sgpl1,0.416742790162648,0.686526565520436,0.910345972656703,1.01966343748265,not_sig
Myelin_lipid,Plp1,0.104040178393487,0.967661318134367,0.335579903900494,1.6648241799699,not_sig
Myelin_lipid,Mbp,-2.88997050378347,-1.79257087335375,-1.05971742734481,-0.637343088519653,acute_D1
Myelin_lipid,Mag,-0.156072328884275,0.648029819546868,-0.893666221493064,0.408253139015907,not_sig
Myelin_lipid,Mog,1.11985421555668,2.0008487187667,0.396874444896721,0.775294500995242,not_sig
Myelin_lipid,Cnp,-0.308307713485859,0.142484309174848,0.30080328842616,0.467459654561047,not_sig
Myelin_lipid,Ugt8a,-4.33999248354659,2.14327205866577,0.460304095769805,2.26551464542904,acute_D1
LD_regulators,Grn,-0.0991740212231447,1.34893439452828,1.24370735578846,0.739584887486627,not_sig
LD_regulators,Trem2,-1.32729418136126,0.588425779953994,0.774090100066646,0.471391445339791,acute_D1
LD_regulators,Hdac3,0.328157540996115,0.0856051708207992,0.266395756222658,1.12426312532416,late_D14
LD_regulators,Tfeb,-1.05459928541202,0.0765230276001805,0.374336359809329,-0.509238924933313,not_sig
LD_regulators,Atg7,0.150160259955405,0.92359080678625,1.35880449553232,1.87458829276014,not_sig
LD_regulators,Becn1,0.48952116613223,-0.159132070062214,0.667861459012385,0.989761643544916,not_sig
