Gene_Set,Gene,D1_log2FC,D1_padj,D4_log2FC,D4_padj,D7_log2FC,D7_padj,D14_log2FC,D14_padj,peak_timepoint,peak_log2FC
Lipid Metabolism,Hmgcr,0.777509765463067,0.341901937955589,-0.677207330039575,0.398041494244015,0.301444494336012,0.694830812830298,-0.785671353289259,0.304676705965532,D14,-0.785671353289259
Lipid Metabolism,Hmgcs1,-0.640850205501781,0.403429640147401,-1.87202559553927,0.0007639335393473,-0.464910658173354,0.471669918648009,-0.426363133832429,0.597854197259138,D4,-1.87202559553927
Lipid Metabolism,Ldlr,0.733628756928136,0.756273501212841,-1.32756593789209,0.429305244912838,-1.98407288179018,0.154379928020569,-2.30103974918273,0.116360841021974,D14,-2.30103974918273
Lipid Metabolism,Abca1,0.996741562191102,0.0733478550038605,1.14156741746556,0.0275561619603053,1.39226318496933,0.0063597762753255,1.71256198081922,0.0004497651206545,D14,1.71256198081922
Lipid Metabolism,Abcg1,0.27778703809674,0.905969272725821,1.23475618623526,0.294322242519709,2.13815964341131,0.0384218164092514,1.48355452038803,0.189733357449071,D7,2.13815964341131
Lipid Metabolism,Nr1h3,1.06238597946841,0.409726513546398,2.33188426498569,0.0183268117940417,2.02954215134793,0.0430862338556801,8.63189545462143,2.2232255166728603e-09,D14,8.63189545462143
Lipid Metabolism,Cyp46a1,-2.93501581429612,0.0181109893902214,-4.17265858447625,0.0001954957694282,-4.02198494843978,0.0007245565493945,-3.75657949650171,0.0014738512562882,D4,-4.17265858447625
Lipid Metabolism,Pla2g4a,1.16701668113344,0.051636256859528,1.17481805381081,0.041894926739372,-0.277367180636017,0.673303885773389,-0.770948341724857,0.231994922866564,D4,1.17481805381081
Lipid Metabolism,Pla2g7,0.466369909478914,0.775624452668747,1.37298359960726,0.167671692625085,1.77411604903003,0.0561660342717748,2.16808560258785,0.0183389395628263,D14,2.16808560258785
Lipid Metabolism,Lpcat1,-1.1148991896223,0.0121999151967509,-0.605659316138112,0.226928167170093,-1.01223927746781,0.0243480243121875,-0.459425053305455,0.39539132765105,D1,-1.1148991896223
Lipid Metabolism,Lpcat2,-1.35761921893807,1.26484006000207e-05,-0.94145898991502,0.0041719121389358,-0.943525591895313,0.0050515610290998,-0.819165500164934,0.0177164551492016,D1,-1.35761921893807
Lipid Metabolism,Smpd1,-0.598592865624353,0.663953133791591,-0.795227816813759,0.478064130059933,-0.469938647077354,0.640615400853458,-1.4287978652489,0.13576643377293,D14,-1.4287978652489
Lipid Metabolism,Asah1,-0.181175411999421,0.870413873912659,0.417667735213409,0.548120820298371,0.749061463772996,0.164868890968922,0.588533099839311,0.344086066034049,D7,0.749061463772996
Lipid Metabolism,Sphk1,5.00096215254112,2.33684132338551e-05,0.844054576561504,0.600053615093485,-0.163344840406497,0.921624562577963,-1.94788997618125,0.27164386911003,D1,5.00096215254112
Lipid Metabolism,Cers6,0.883776667351698,0.275262581903405,0.459621288072558,0.622001753046923,0.842273004863269,0.225853571819526,2.32947304579528,0.0002276430331398,D14,2.32947304579528
Lipid Metabolism,Mfsd2a,-2.97082383686,0.0382393367314884,-2.46607604159372,0.0821876291593727,-4.49185178999999,0.0008073347033136,-3.97518615427463,0.002783059694997,D7,-4.49185178999999
Lipid Metabolism,Fabp7,-1.1373885097624,0.66484085256027,0.837132651163516,0.725098075658965,0.83816670574857,0.64846727132773,-0.521228686414566,0.852595856212251,D1,-1.1373885097624
Autophagy/Lysosome,Atg5,0.348645105268887,0.610705182745318,0.639104754087008,0.210994809790318,0.813264877472005,0.0827154485108968,0.608460581406358,0.244667252137324,D7,0.813264877472005
Autophagy/Lysosome,Atg7,0.150160259955405,0.959807487543609,0.92359080678625,0.470495422766456,1.35880449553232,0.190466553553481,1.87458829276014,0.0799318504022865,D14,1.87458829276014
Autophagy/Lysosome,Becn1,0.48952116613223,0.572593567204864,-0.159132070062214,0.880811909077689,0.667861459012385,0.28607359853023,0.989761643544916,0.128267147153997,D14,0.989761643544916
Autophagy/Lysosome,Map1lc3a,-1.66272543898696,0.0260310466541721,-1.54969708095762,0.0343565027311845,-0.311643321434262,0.716555401719236,-0.676926475744739,0.456312462982305,D1,-1.66272543898696
Autophagy/Lysosome,Map1lc3b,-0.215732035264851,0.889078658976608,0.14621913861712,0.911305135312171,0.544430604882276,0.474996547301398,0.599111052982951,0.501447000533433,D14,0.599111052982951
Autophagy/Lysosome,Sqstm1,1.8077885794494,5.02102727539593e-06,0.971402316855429,0.027232100606483,0.681966090703761,0.131491231528901,0.883097306012689,0.0550975196581114,D1,1.8077885794494
Autophagy/Lysosome,Tfeb,-1.05459928541202,0.217723216140947,0.0765230276001805,0.960936467018362,0.374336359809329,0.657267659250714,-0.509238924933313,0.616324912736477,D1,-1.05459928541202
Autophagy/Lysosome,Lamp1,-0.264028450103277,0.763105472983664,1.34014172840511,0.0050671064825115,1.62293205667606,0.0006440779057648,1.50922122500011,0.0015391634827854,D7,1.62293205667606
