gene,TBI_mean,Sham_mean,log2FC
Gm9581,0.00478795,0.005478949,-0.06588543
Adamts1,0.516659,0.33655283,0.603794
A930006K02Rik,0.005005521,0.0052357554,-0.021967698
Gm7976,0.0014098104,0.0,0.19027472
Zbtb21,0.04737311,0.039869625,0.20221321
Vmn2r95,0.0,0.0025638395,-0.3292774
H2-T23,0.13065824,0.13053124,0.0013032117
Xpo5,0.014583132,0.017154114,-0.14350209
Tfeb,0.05468499,0.05217221,0.057160992
Myom1,0.011903054,0.008852442,0.21638057
Tnfaip8,0.20653255,0.19655824,0.06803528
Ppic,0.0025626149,0.0021138387,0.052480657
Adrb2,0.29371813,0.33129483,-0.16828561
Timm21,0.02257152,0.01990208,0.12336522
Cdc42ep2,0.013429547,0.014570157,-0.06857796
Acta2,0.020325396,0.010525654,0.5630984
Cyp2c38,0.0016614663,0.0,0.2217492
Zfp518a,0.0662982,0.07135062,-0.09250424
Marveld1,0.0048988992,0.0032562232,0.16853593
Tdrd1,0.0025718068,0.008386767,-0.5484758
Slc18a2,0.01466762,0.02338613,-0.43663028
Grk5,0.027563784,0.028150441,-0.022357244
Arid5a,0.064373426,0.053196117,0.2349513
Gm15834,0.0049426653,0.008186318,-0.283416
Irs1,0.00323037,0.0042760605,-0.10974444
Rnpepl1,0.058069926,0.07851889,-0.37896776
Lmod1,0.0017149264,0.0033036866,-0.1834782
Fam129a,0.08110602,0.06660108,0.2501816
4930523C07Rik,0.0029993136,0.0054523475,-0.24939063
Fmo6,0.0007965326,0.0,0.110568054
Gm16565,0.0025384023,0.0,0.32635352
Aim2,0.3020624,0.33121797,-0.12885918
Arrdc1,0.11976379,0.11957302,0.0021225957
Fam129b,0.014488383,0.014725287,-0.013889842
Gm13598,0.0,0.0,0.0
Fkbp7,0.055352017,0.054484542,0.019278346
Lcmt2,0.010229739,0.015825925,-0.3523424
Gm14210,0.0,0.0,0.0
Cd93,0.0055517172,0.004827755,0.06877369
Rad21l,0.0,0.0,0.0
Rbck1,0.09927855,0.09288908,0.08692032
Procr,0.008613773,0.004750408,0.33561566
Ptgis,0.005639837,0.0012524485,0.4749866
