gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Dnajb11,0.17125125,0.14167503,-0.27335328,0.0636538793964312,1291,1366,0.20883037040289607,False
Rpl8,0.13365133,0.10319387,-0.37279856,0.06369944827633554,1291,1366,0.20888853165093776,False
Gda,0.09837698,0.12252101,0.31634784,0.0637662735187079,1291,1366,0.20889201762961973,False
Sec62,0.38301656,0.44442946,0.21449566,0.06377198330367263,1291,1366,0.20889201762961973,False
Rpl13,0.1545575,0.117919184,-0.39005536,0.0637870933899679,1291,1366,0.20889201762961973,False
Nup155,0.120641574,0.15258808,0.33866498,0.06381187583727688,1291,1366,0.20889201762961973,False
Csf1,0.15458797,0.117057346,-0.4009136,0.0639240913947013,1291,1366,0.20916810193390487,False
Pet100,0.15851423,0.12500224,-0.34241462,0.0641769556656401,1291,1366,0.2099039661548813,False
Gm35188,0.2053537,0.2478864,0.27144763,0.06423801372234753,1291,1366,0.20997993618353164,False
Arcn1,0.28983894,0.2392954,-0.27635363,0.06425615533485121,1291,1366,0.20997993618353164,False
Dop1a,0.34923914,0.40099847,0.19932817,0.0643208280799636,1291,1366,0.2100672787784973,False
Tm9sf4,0.21025297,0.25063658,0.25336018,0.06433887866626506,1291,1366,0.2100672787784973,False
Cyp27a1,0.8993925,0.98013794,0.124020785,0.06448308719641274,1291,1366,0.21044654338176808,False
Oasl2,0.21620657,0.24926302,0.2051701,0.06459277440519673,1291,1366,0.21071122907512405,False
Cd36,0.6036752,0.6723332,0.15537938,0.06464260721626718,1291,1366,0.21071122907512405,False
Srp9,0.11476205,0.09002455,-0.3499101,0.06464844053457758,1291,1366,0.21071122907512405,False
Hsf2,0.17740119,0.21198252,0.2567971,0.06474072362249178,1291,1366,0.21092038616567774,False
Eml1,0.32219252,0.27335742,-0.23705445,0.06479436341464845,1291,1366,0.21100351940108825,False
Ndufb10,0.09812574,0.06988698,-0.48901448,0.06520302776233206,1291,1366,0.2121695824385618,False
Gnb1,0.6350835,0.57214874,-0.15053104,0.06520899068416947,1291,1366,0.2121695824385618,False
Plcl1,0.075693496,0.10592059,0.48419857,0.06530897396162516,1291,1366,0.21240278787779523,False
Susd1,0.10940254,0.08121008,-0.4294582,0.06535207970380143,1291,1366,0.21245088995564215,False
Ushbp1,1.3961743,1.3312129,-0.068732716,0.06547222562128326,1291,1366,0.2127492892319135,False
Gna12,0.3652996,0.41838545,0.19570231,0.06567891230700461,1291,1366,0.21332851906469938,False
Dcp1a,0.15219927,0.18394592,0.27315673,0.0658120002023465,1291,1366,0.21366829836356804,False
Rassf3,0.530518,0.5907507,0.15511994,0.06592183095635933,1291,1366,0.21376984371721655,False
N4bp2,0.12962191,0.16806865,0.3744866,0.06592572349075944,1291,1366,0.21376984371721655,False
Als2cl,0.18128638,0.2140016,0.23922937,0.06592875094783941,1291,1366,0.21376984371721655,False
Ddx46,0.69398195,0.62813854,-0.14379354,0.06604634424767651,1291,1366,0.21405862673447815,False
Akap7,0.17514537,0.21148789,0.27188072,0.06630123757801648,1291,1366,0.21479196267178657,False
Irf7,0.0728594,0.10032352,0.4609314,0.06664715544142572,1291,1366,0.21581942480665392,False
Capn15,0.21840689,0.18299046,-0.25512213,0.0667118301266216,1291,1366,0.21593566067301204,False
Hsp90ab1,0.631248,0.56836694,-0.151359,0.06710022324368896,1291,1366,0.21706263505169326,False
Rapgef6,0.50620717,0.56454897,0.15734139,0.06711786129813786,1291,1366,0.21706263505169326,False
Ppp1r2,0.38504553,0.31981957,-0.26769447,0.06720410719171045,1291,1366,0.21724791738879945,False
Epb41l2,0.8713574,0.8068085,-0.11102512,0.0672766064422736,1291,1366,0.21728842313665128,False
Clint1,0.6364425,0.7030349,0.14354467,0.06728801881280558,1291,1366,0.21728842313665128,False
Kmt2a,0.63090414,0.5688399,-0.14937314,0.06730351797542018,1291,1366,0.21728842313665128,False
Marchf3,0.31130734,0.25045612,-0.31366917,0.06733796326450166,1291,1366,0.21730612403163696,False
Phldb2,1.5554228,1.4900786,-0.06191428,0.06744577706180345,1291,1366,0.21756047519119143,False
Gnas,0.64144146,0.57700294,-0.15271379,0.06755535584686742,1291,1366,0.21782029863302374,False
Calu,0.20540415,0.15974122,-0.36252794,0.06762154226229279,1291,1366,0.21785056511900866,False
Nrd1,0.6213039,0.5571726,-0.15714808,0.06762281302974425,1291,1366,0.21785056511900866,False
Cdyl,0.17048757,0.21350676,0.32444483,0.0679013719880433,1291,1366,0.21865407468939438,False
Lss,0.11042671,0.07511834,-0.5552386,0.06795481308323849,1291,1366,0.21873228767204564,False
Ell,0.2564859,0.21116859,-0.28036353,0.06802163675638057,1291,1366,0.21879094975305954,False
Pcsk6,0.16193664,0.13217704,-0.29275736,0.0680313588929612,1291,1366,0.21879094975305954,False
4930554G24Rik,0.22199765,0.16620155,-0.4173925,0.06820609250281334,1291,1366,0.21925891690171745,False
Exph5,0.13380879,0.16862413,0.33341566,0.06829384735399371,1291,1366,0.21944699644411772,False
Armcx1,0.1247571,0.1466889,0.23346491,0.06841258334553005,1291,1366,0.21973442330544174,False
Psen1,0.19680208,0.23548387,0.2587624,0.06848394083339494,1291,1366,0.21986949425458377,False
Mrpl4,0.12938982,0.096034974,-0.42970547,0.06858417005083517,1291,1366,0.22009710346082817,False
Rnf157,0.25242466,0.29787213,0.23875313,0.06867490560008695,1291,1366,0.2202940644367047,False
Cfap36,0.13101195,0.10348571,-0.33997416,0.06883254123645578,1291,1366,0.22070536619535375,False
Rnf181,0.17050944,0.13706249,-0.3148115,0.06891622616399684,1291,1366,0.22079777771297038,False
Clk2,0.29990038,0.34599563,0.2062064,0.06894656330597697,1291,1366,0.22079777771297038,False
Raf1,0.4616097,0.5206421,0.17358306,0.06894964589917228,1291,1366,0.22079777771297038,False
Pfdn5,0.12916215,0.09745415,-0.4060247,0.0692392862264042,1291,1366,0.2216307016026923,False
Senp2,0.33958435,0.38090143,0.16560169,0.0693510644140538,1291,1366,0.22176401926939093,False
Mrpl2,0.10010929,0.07202607,-0.47442353,0.06935707745429756,1291,1366,0.22176401926939093,False
Aldh16a1,0.099364504,0.1257908,0.33991918,0.06936960592099968,1291,1366,0.22176401926939093,False
Smim20,0.10133096,0.070279285,-0.5272753,0.06967149848361061,1291,1366,0.22263426453259386,False
C230096K16Rik,0.10072304,0.12568104,0.3190891,0.06973829498469154,1291,1366,0.22267582849015752,False
Acss3,0.21293972,0.26806748,0.33201167,0.06974386204876319,1291,1366,0.22267582849015752,False
Trmt10a,0.09241478,0.07033501,-0.39339125,0.06977475815365206,1291,1366,0.2226797151964489,False
Bcl3,0.1307513,0.096220315,-0.44201624,0.06980921118674926,1291,1366,0.22269494538017848,False
C920006O11Rik,0.06612067,0.09330702,0.49624938,0.06994495803041197,1291,1366,0.22303315771448406,False
Trim12a,0.33640814,0.38244727,0.18499668,0.07008044274348002,1291,1366,0.22331542848674232,False
Park7,0.1225637,0.09725885,-0.33332425,0.07009300734190033,1291,1366,0.22331542848674232,False
Cep85,0.53637195,0.4754766,-0.17382511,0.07016013141051457,1291,1366,0.22341322749578535,False
Por,0.44016814,0.50293636,0.19228032,0.07021213837216374,1291,1366,0.22341322749578535,False
Coro7,0.20568417,0.24363893,0.2442047,0.07021303351127041,1291,1366,0.22341322749578535,False
Slc22a28,0.21444133,0.16822618,-0.34999603,0.07040056794216981,1291,1366,0.22391498994069528,False
Igf2r,0.08540965,0.1120439,0.39119205,0.07049127808561167,1291,1366,0.22405061869977444,False
Rnf11,0.15042455,0.18738943,0.31681046,0.0705136920823831,1291,1366,0.22405061869977444,False
0610031O16Rik,0.1592227,0.122973576,-0.37243083,0.07053279506448984,1291,1366,0.22405061869977444,False
Wdr7,0.39528465,0.44327492,0.1652703,0.07072544596276199,1291,1366,0.22456750785383126,False
Golim4,0.33504027,0.38403976,0.19686623,0.07079375983870856,1291,1366,0.22462279359760173,False
Setdb2,0.26982757,0.31527987,0.22451828,0.07080273315451527,1291,1366,0.22462279359760173,False
Faah,0.2280569,0.2705398,0.24634759,0.07113700040826251,1291,1366,0.22550121050746308,False
Qser1,0.1703232,0.20740582,0.28403008,0.07113972614569707,1291,1366,0.22550121050746308,False
Cnot4,0.81491095,0.74793863,-0.123706676,0.0713526823591952,1291,1366,0.22608073299875064,False
A630089N07Rik,0.13444296,0.10009039,-0.42532262,0.07145883173698765,1291,1366,0.22630188772878626,False
Ldlrad3,0.096180364,0.12765954,0.4081176,0.07148280340093609,1291,1366,0.22630188772878626,False
Cbfa2t2,0.29519656,0.3490495,0.24168034,0.07155845231939978,1291,1366,0.2264458320339336,False
Hsd17b12,0.37832054,0.3245146,-0.22126251,0.07158869644428507,1291,1366,0.22644603263974322,False
Pmvk,0.11858472,0.089249514,-0.40960243,0.07171010416326262,1291,1366,0.22673447599534743,False
Znhit6,0.1146431,0.08735434,-0.3918054,0.07176504813762176,1291,1366,0.22681261844000675,False
Rps12,0.2525654,0.21195701,-0.25277597,0.07188180798917808,1291,1366,0.22706912520251626,False
Acaa2,0.37214687,0.3160832,-0.2354991,0.07190673616968928,1291,1366,0.22706912520251626,False
Rn18s-rs5,4.953971,4.9976144,0.012653862,0.07197047290001185,1291,1366,0.2271747825699575,False
Zfp426,0.14902537,0.11640774,-0.3560999,0.07222273640208313,1291,1366,0.22787518554450367,False
