gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Gm2682,0.13431145,0.2138977,0.67093927,1.31266264653518e-21,8788,9002,4.618749830740472e-21,True
2310058D17Rik,0.14922914,0.10691559,-0.48067474,1.3329835400487358e-21,8788,9002,4.688290352186461e-21,False
Dnajc21,0.21203753,0.16004422,-0.40562811,1.3576120211164442e-21,8788,9002,4.772916813060027e-21,False
Mtln,0.08603243,0.052774407,-0.7039869,1.3768329810531253e-21,8788,9002,4.838469452631555e-21,True
2810013P06Rik,0.3940736,0.33250302,-0.24502994,1.3862389753011898e-21,8788,9002,4.869489978792864e-21,False
Ggcx,0.25531504,0.19960901,-0.3549439,1.3940899772181014e-21,8788,9002,4.895024615332174e-21,False
H2aj,0.16821058,0.12734087,-0.40129787,1.4300518398102837e-21,8788,9002,5.019201555412564e-21,False
Hsph1,0.1198464,0.07852691,-0.60929495,1.4739193392944997e-21,8788,9002,5.171010592779243e-21,True
Pabpn1,1.2817506,1.0853859,-0.23988707,1.5303781449652892e-21,8788,9002,5.366849242848261e-21,False
Slc7a8,0.049028307,0.111830235,1.1879733,1.5419220615267407e-21,8788,9002,5.405079293176862e-21,True
Akr1c13,0.19825917,0.14244889,-0.4766583,1.5755038277636204e-21,8788,9002,5.5204971690859386e-21,False
Sf1,0.41136995,0.34749514,-0.24337915,1.6241121626911214e-21,8788,9002,5.688449469075938e-21,False
Acox3,0.14451264,0.10287415,-0.48991135,1.6721714276436894e-21,8788,9002,5.85433966740173e-21,False
Rbm26,0.9225808,0.79681885,-0.21139875,1.6824809650363059e-21,8788,9002,5.887983510337122e-21,False
Cdkn2aip,0.2226252,0.17097823,-0.3806086,1.707991713734073e-21,8788,9002,5.974775171577862e-21,False
Tmbim1,0.1527157,0.105469145,-0.53360444,1.734129965192852e-21,8788,9002,6.063688860003102e-21,True
Ftcd,1.2283036,1.0573808,-0.21615307,1.768645559524498e-21,8788,9002,6.1818093445282934e-21,False
Gm16559,0.08773357,0.053053923,-0.72459626,1.773242074910224e-21,8788,9002,6.1953013190281195e-21,True
Anapc16,0.2606671,0.20476125,-0.34811455,1.8399727793592567e-21,8788,9002,6.425774592257961e-21,False
Atad2b,0.7900696,0.68571156,-0.2043501,1.921940234488894e-21,8788,9002,6.709246138072641e-21,False
2610005L07Rik,0.30701995,0.25172293,-0.2863926,1.951648931429587e-21,8788,9002,6.810129597725887e-21,False
Camkmt,0.34973094,0.28303835,-0.30515075,1.9821917246425582e-21,8788,9002,6.913838714518177e-21,False
Rbks,0.30559203,0.24863653,-0.29746044,2.0808250266760857e-21,8788,9002,7.254861562132578e-21,False
Tma16,0.07971129,0.04786036,-0.7347502,2.0865503351570853e-21,8788,9002,7.271809432343231e-21,True
Sult5a1,0.1239686,0.20799674,0.74611634,2.1049406974615992e-21,8788,9002,7.332863804449041e-21,True
Gng2,0.07457038,0.1493295,1.0008569,2.124932084203834e-21,8788,9002,7.399442725333963e-21,True
Psma7,0.34265032,0.27789927,-0.30207703,2.1453579372628004e-21,8788,9002,7.467478827551485e-21,False
Zfp933,0.15190254,0.11485135,-0.4030721,2.168051849776415e-21,8788,9002,7.54334996367617e-21,False
Tmem126a,0.29623199,0.23754843,-0.3183854,2.32975373862273e-21,8788,9002,8.102611907000011e-21,False
Akr1e1,0.19252925,0.14299233,-0.42888042,2.3440782403749706e-21,8788,9002,8.149062081105218e-21,False
Cntrl,0.51199454,0.43332928,-0.24061362,2.46375078689263e-21,8788,9002,8.56155942590983e-21,False
