gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Clcn5,0.093503706,0.13023491,0.47758597,0.1089262105051107,599,503,0.36454476137154274,False
Gm16124,0.18089317,0.13520415,-0.4197291,0.1089613569834795,599,503,0.36454476137154274,False
Ubr7,0.09157734,0.058717277,-0.64032525,0.10912264849643155,599,503,0.36493475890609894,False
Grem2,0.094527885,0.12587517,0.41280213,0.10943463191170688,599,503,0.3658281836950136,False
Epb41l3,0.0673537,0.0980231,0.5406952,0.10971622760832116,599,503,0.3666193354970928,False
Ubn1,0.39798024,0.4686378,0.23572181,0.10980978916297066,599,503,0.36670459242941783,False
Qrich1,0.34070987,0.39483643,0.21265341,0.10983162057567367,599,503,0.36670459242941783,False
Naca,0.16098106,0.20852274,0.37310955,0.10990667034442186,599,503,0.36680508384886806,False
Tax1bp1,0.7644855,0.8602475,0.17024171,0.10999833183790046,599,503,0.36696091079201465,False
Tspan7,0.2593376,0.30198222,0.21955363,0.11023445140125267,599,503,0.3675983340556689,False
Gm5834,0.59501064,0.5174669,-0.20141251,0.11035499983011066,599,503,0.367738770335273,False
Ubxn1,0.18975876,0.13771445,-0.46219945,0.11036669712635828,599,503,0.367738770335273,False
Frmd6,0.35749936,0.4202383,0.23320669,0.1105679208310632,599,503,0.36825887101284727,False
Tst,0.11459868,0.078920156,-0.5375561,0.11076978600855596,599,503,0.3687569456132953,False
Ywhab,0.12642452,0.16333483,0.3692985,0.1108474694881683,599,503,0.3687569456132953,False
D130040H23Rik,0.12989426,0.18295072,0.4937956,0.11085303769478105,599,503,0.3687569456132953,False
Atp2b4,0.06899111,0.099910304,0.53357667,0.11107476834238073,599,503,0.36934397297221955,False
Fap,0.07538842,0.10765792,0.51346666,0.11126776619717255,599,503,0.3698350192134126,False
Cdc73,0.27731633,0.33906403,0.28993052,0.11152713854484558,599,503,0.3705461932108876,False
Ppp1r21,0.18027526,0.22356063,0.3103099,0.11174985506430317,599,503,0.3711350497862083,False
Ldlrap1,0.15891004,0.19493556,0.29461935,0.11205374283734437,599,503,0.3719286985351811,False
Arid1b,0.8498038,0.9502064,0.16109312,0.1121560193643077,599,503,0.3719286985351811,False
AI480526,0.26378253,0.31135893,0.23914616,0.11216706634820153,599,503,0.3719286985351811,False
Zmiz2,0.0849561,0.05712661,-0.5717285,0.11217114302635793,599,503,0.3719286985351811,False
Pparg,0.06956373,0.0938802,0.4319491,0.1122252635177179,599,503,0.37195700662249315,False
Zfp386,0.07696522,0.110105336,0.5160423,0.11231003799052697,599,503,0.37208684937178244,False
Smlr1,0.20637344,0.15710649,-0.39329547,0.1123875600563941,599,503,0.3721925690179285,False
Rnf144b,0.36218736,0.43100893,0.250918,0.11258779897934969,599,503,0.3727044380006059,False
Aff4,0.57611465,0.6632814,0.20323223,0.11270164692991293,599,503,0.3727853962517188,False
Smarca4,0.22075184,0.27883288,0.33683914,0.11274782800952791,599,503,0.3727853962517188,False
Nup188,0.06535474,0.09009245,0.4625089,0.11277776856582417,599,503,0.3727853962517188,False
Adamts14,0.20367521,0.25526398,0.3255764,0.11279499305704581,599,503,0.3727853962517188,False
Dcun1d2,0.07505475,0.10435818,0.47498935,0.11291661642549243,599,503,0.3730362712680236,False
Ino80,0.4786133,0.556967,0.21868916,0.11296587843295883,599,503,0.3730479838174601,False
Prox1os,0.2496279,0.30567962,0.29213512,0.11315051681048806,599,503,0.3734824936303742,False
Slc30a7,0.19557974,0.241121,0.30186108,0.11318899592498964,599,503,0.3734824936303742,False
Ergic3,0.08825581,0.059630387,-0.5648599,0.11327602904938731,599,503,0.3735443820254189,False
Cars2,0.23127347,0.28231412,0.2875887,0.11330930504072348,599,503,0.3735443820254189,False
9630013D21Rik,0.096683726,0.058307186,-0.7286186,0.11334508454594819,599,503,0.3735443820254189,False
Btbd3,0.07611195,0.10484229,0.46150705,0.11340435364148907,599,503,0.3735888274988094,False
Grik5,0.09401783,0.13010713,0.46826842,0.11358714335361304,599,503,0.373986220102224,False
Stx7,0.28206477,0.344395,0.28794524,0.11372093911488895,599,503,0.373986220102224,False
Fam193a,0.5872185,0.6757067,0.20246749,0.11374589478585656,599,503,0.373986220102224,False
Prrc2b,0.29132184,0.35516715,0.2857953,0.11377695936596696,599,503,0.373986220102224,False
Zdhhc13,0.0974245,0.067562506,-0.52740806,0.11382553009320052,599,503,0.373986220102224,False
Seh1l,0.09577713,0.06398461,-0.58120877,0.11383168353211046,599,503,0.373986220102224,False
Mbd1,0.29614446,0.35162255,0.24764971,0.11384580523700054,599,503,0.373986220102224,False
Zfp398,0.28847584,0.22340782,-0.3686252,0.11402833442433485,599,503,0.3743892992293181,False
Khsrp,0.10960071,0.14321281,0.3855948,0.11406026934853979,599,503,0.3743892992293181,False
Cep250,0.18466023,0.2329571,0.3350292,0.1143203267269006,599,503,0.37509202496642896,False
Rgp1,0.09624772,0.06461094,-0.57424074,0.11473980850112389,599,503,0.37631705682040634,False
Yipf4,0.22600508,0.18659855,-0.2762826,0.11485311995461957,599,503,0.3763443845082716,False
Hpd,1.0611101,1.1863649,0.16095899,0.1149023194584031,599,503,0.3763443845082716,False
Arf3,0.08332713,0.113911495,0.45059082,0.11490603959894027,599,503,0.3763443845082716,False
Ube2f,0.16072522,0.20488779,0.35004434,0.11493262330816334,599,503,0.3763443845082716,False
Phf6,0.212791,0.1596091,-0.41466847,0.11499702440738745,599,503,0.3763543100805069,False
Spcs1,0.1137692,0.06508866,-0.8046847,0.11502789820352749,599,503,0.3763543100805069,False
Jak1,0.7899988,0.8908618,0.17333052,0.11510694883898073,599,503,0.37646200502047406,False
Ppp6c,0.19147548,0.24242514,0.34022135,0.11524220135183218,599,503,0.3766371229395991,False
Ubtf,0.17081925,0.21409334,0.32559875,0.11528365117310752,599,503,0.3766371229395991,False
Gm43362,0.29697946,0.2378729,-0.32005146,0.11533833788901993,599,503,0.3766371229395991,False
Utrn,1.1351594,1.2461367,0.13455604,0.11534511890025223,599,503,0.3766371229395991,False
Rbak,0.102628335,0.071765214,-0.51546866,0.11555010494639172,599,503,0.37683877677661715,False
Zdhhc3,0.083369836,0.11175239,0.42226923,0.11558735114713321,599,503,0.37683877677661715,False
Pde1a,1.3371019,1.2425908,-0.10574999,0.11561129340904204,599,503,0.37683877677661715,False
Heatr6,0.2532841,0.3109945,0.29602697,0.11562909760732143,599,503,0.37683877677661715,False
Zfp809,0.52511114,0.44684622,-0.23279633,0.11567856014216545,599,503,0.37683877677661715,False
Uhrf2,0.45655417,0.53390545,0.22575258,0.11569101542440251,599,503,0.37683877677661715,False
Sox5os2,0.2336721,0.29748037,0.34817663,0.11573014394634835,599,503,0.37683877677661715,False
Myo1b,1.3371837,1.4483864,0.11524055,0.1158240315180262,599,503,0.37699405551938325,False
Ablim2,0.4674272,0.54059726,0.20977089,0.1161155282330993,599,503,0.37779214927515564,False
Mbip,0.25001708,0.19760041,-0.33928767,0.11623282656349018,599,503,0.3780230628768752,False
Ppp1r3c,0.2827336,0.21715634,-0.3805551,0.11629151153487402,599,503,0.37806324068708047,False
Pknox2,0.12920009,0.16704103,0.37034273,0.11644056001652546,599,503,0.3783616115745687,False
5031439G07Rik,0.095935754,0.12984881,0.43629992,0.11652291103514549,599,503,0.3783616115745687,False
Ccnh,0.1960343,0.24595672,0.32714912,0.11656252169884575,599,503,0.3783616115745687,False
Tsc22d1,0.14856502,0.18846016,0.34295955,0.1165878550006561,599,503,0.3783616115745687,False
Wwp1,0.62756413,0.71840477,0.19500493,0.11661512905760298,599,503,0.3783616115745687,False
Cyp4f14,0.18812798,0.13711107,-0.45608425,0.117176637057289,599,503,0.3797230253509388,False
Klhdc2,0.17677738,0.21177039,0.26043245,0.11718772357708217,599,503,0.3797230253509388,False
Tnfrsf1b,0.19056214,0.22572033,0.24415693,0.1172324220507076,599,503,0.3797230253509388,False
Lgr4,0.21945022,0.2579713,0.23321855,0.11729452320975278,599,503,0.3797230253509388,False
Mrps9,0.18855782,0.22405358,0.2487156,0.11730075892143225,599,503,0.3797230253509388,False
Psma7,0.24815871,0.1958197,-0.3415818,0.11734019488916575,599,503,0.3797230253509388,False
