gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Hnrnpc,0.7006822,0.6622696,-0.08132972,0.8246299821908925,50,32,0.9955002554740403,False
2610020C07Rik,0.1697688,0.07821091,-1.1171356,0.8246598598952005,50,32,0.9955002554740403,False
Ghitm,0.19111893,0.104999416,-0.8634707,0.8246598598952005,50,32,0.9955002554740403,False
Gna11,0.19716659,0.11355089,-0.79553765,0.8246598598952005,50,32,0.9955002554740403,False
Gm34667,0.29947093,0.31371063,0.06699656,0.8247963075524083,50,32,0.9955002554740403,False
Snx2,0.3020271,0.35276666,0.22396751,0.8247963075524083,50,32,0.9955002554740403,False
Tmem144,0.08731675,0.12539421,0.5216391,0.8250444890606013,50,32,0.9955002554740403,False
Tbc1d17,0.1005375,0.11323038,0.17136665,0.8250444890606013,50,32,0.9955002554740403,False
Tspyl2,0.09763555,0.1245414,0.35082805,0.8250444890606013,50,32,0.9955002554740403,False
Mios,0.12864064,0.12302266,-0.06437118,0.8250444890606013,50,32,0.9955002554740403,False
Ttc32,0.081405774,0.09685014,0.2503408,0.8250444890606013,50,32,0.9955002554740403,False
Pigl,0.09998146,0.10107009,0.015608165,0.8250444890606013,50,32,0.9955002554740403,False
Nsd3,1.0342174,1.1222864,0.11789052,0.8255784063929296,50,32,0.9955002554740403,False
Ccnd2,0.3855401,0.40214357,0.060814325,0.8259918837414238,50,32,0.9955002554740403,False
Lars,0.44110328,0.47116232,0.09508678,0.8263505168937846,50,32,0.9955002554740403,False
Lactb2,0.55532557,0.62363195,0.16733254,0.826417822069414,50,32,0.9955002554740403,False
Saraf,0.17309536,0.16892008,-0.035205618,0.8266773385026239,50,32,0.9955002554740403,False
Atoh8,0.17529458,0.17983663,0.036884755,0.8266773385026239,50,32,0.9955002554740403,False
Manea,0.17156804,0.16368686,-0.06780183,0.8266773385026239,50,32,0.9955002554740403,False
Atp5o,0.18031855,0.13259229,-0.4432631,0.8266773385026239,50,32,0.9955002554740403,False
Elp1,0.1685233,0.15113513,-0.15701059,0.8266773385026239,50,32,0.9955002554740403,False
Dennd1a,1.1309336,1.1158104,-0.01942065,0.8269800235639575,50,32,0.9955002554740403,False
Apol9b,0.26185012,0.25136435,-0.05893824,0.8278150503078661,50,32,0.9955002554740403,False
Slc22a28,0.33180672,0.30227074,-0.13445927,0.8278150503078661,50,32,0.9955002554740403,False
Mb21d2,0.24290071,0.23858625,-0.025845135,0.8278150503078661,50,32,0.9955002554740403,False
Etnk1,0.5907538,0.55868053,-0.080519415,0.828250198272914,50,32,0.9955002554740403,False
Tacc1,0.6116463,0.5773411,-0.08325975,0.828250198272914,50,32,0.9955002554740403,False
Aspa,0.19866303,0.16485322,-0.2689925,0.8284907330965491,50,32,0.9955002554740403,False
Wtap,0.24904911,0.21475235,-0.21366386,0.8284907330965491,50,32,0.9955002554740403,False
Zcchc2,0.18532793,0.15508121,-0.25690472,0.8284907330965491,50,32,0.9955002554740403,False
Smco4,0.23156768,0.19594236,-0.24089143,0.8284907330965491,50,32,0.9955002554740403,False
Cyp4f13,0.23921756,0.17621464,-0.44077405,0.8284907330965491,50,32,0.9955002554740403,False
Vdac2,0.21419205,0.21252035,-0.011298673,0.8284907330965491,50,32,0.9955002554740403,False
Nkain2,0.24981862,0.21818016,-0.19527733,0.8284907330965491,50,32,0.9955002554740403,False
Nup153,0.2055375,0.2331071,0.18150838,0.8286185401645108,50,32,0.9955002554740403,False
Efl1,0.22934839,0.2669699,0.21904752,0.8286185401645108,50,32,0.9955002554740403,False
Apol9a,0.18472724,0.22176528,0.26350647,0.8286185401645108,50,32,0.9955002554740403,False
Ppt1,0.1998268,0.22260308,0.1556496,0.8286185401645108,50,32,0.9955002554740403,False
Gtf3c2,0.18864681,0.22626904,0.26222435,0.8286185401645108,50,32,0.9955002554740403,False
Cds2,0.20263112,0.24804452,0.29161307,0.8286185401645108,50,32,0.9955002554740403,False
Mgat1,0.2106629,0.25589916,0.28051805,0.8286185401645108,50,32,0.9955002554740403,False
Ahnak,0.24238868,0.27179,0.16510558,0.8286185401645108,50,32,0.9955002554740403,False
Anapc10,0.17903565,0.21293706,0.2500519,0.8286185401645108,50,32,0.9955002554740403,False
Rps20,0.17883782,0.2379027,0.41151965,0.8286185401645108,50,32,0.9955002554740403,False
9530026P05Rik,0.7127812,0.7362928,0.04681377,0.8288402462579727,50,32,0.9956120144850077,False
Arglu1,0.9360408,0.8950288,-0.064630255,0.8301161946153864,50,32,0.9965538489741258,False
Pum1,0.8475742,0.9260237,0.12769511,0.8301172462471283,50,32,0.9965538489741258,False
Lonp2,1.0005108,1.1044562,0.1425859,0.8301887250581885,50,32,0.9965538489741258,False
Tor1aip2,0.6165397,0.5620864,-0.13337928,0.830800432898487,50,32,0.9965538489741258,False
Prdx1,0.57531655,0.5483243,-0.06931427,0.8313116466061485,50,32,0.9965538489741258,False
Ube2i,0.2921856,0.24158913,-0.27422613,0.8313447070122222,50,32,0.9965538489741258,False
Sirt7,0.32142335,0.2935009,-0.13106717,0.8313465957883721,50,32,0.9965538489741258,False
Ltn1,0.31175324,0.28276092,-0.14077443,0.8313465957883721,50,32,0.9965538489741258,False
Fbrsl1,0.3818,0.344449,-0.14848569,0.8319824032003216,50,32,0.9965538489741258,False
Acsm1,0.5720211,0.5646766,-0.018640373,0.8333196189130162,50,32,0.9965538489741258,False
Cbx3,0.24510235,0.24539402,0.0017150231,0.8334690169351926,50,32,0.9965538489741258,False
Ppat,0.25306848,0.26333967,0.057374876,0.8334690169351926,50,32,0.9965538489741258,False
Ppp1r12c,0.23033,0.2207212,-0.061449926,0.8334690169351926,50,32,0.9965538489741258,False
Scai,0.35705903,0.28804445,-0.30977434,0.8336763130071665,50,32,0.9965538489741258,False
Abca3,0.34573913,0.28339303,-0.2867878,0.8336763130071665,50,32,0.9965538489741258,False
Slc25a13,0.8350677,0.8753927,0.0680292,0.834057926927742,50,32,0.9965538489741258,False
Slc2a9,0.15007648,0.22774032,0.60136425,0.8344108009599669,50,32,0.9965538489741258,False
Traf3ip2,0.16580187,0.22218233,0.4220631,0.8344108009599669,50,32,0.9965538489741258,False
Acsl5,0.33680847,0.3701576,0.13617258,0.8351112665984901,50,32,0.9965538489741258,False
Gm20319,0.36653057,0.41106868,0.16540326,0.8351112665984901,50,32,0.9965538489741258,False
Ubr5,0.8594658,0.9348582,0.121293835,0.8358035899707639,50,32,0.9965538489741258,False
Chrm3,0.47093788,0.5444069,0.20910735,0.8358563974273913,50,32,0.9965538489741258,False
Tbc1d12,0.2906028,0.30103955,0.050887227,0.8367091483944941,50,32,0.9965538489741258,False
Grb7,0.08809884,0.10421872,0.24216652,0.83683138968246,50,32,0.9965538489741258,False
Pi4kb,0.10515171,0.12715231,0.2738481,0.83683138968246,50,32,0.9965538489741258,False
Ccnc,0.13050272,0.14975607,0.19839273,0.83683138968246,50,32,0.9965538489741258,False
Nup54,0.12477173,0.14556283,0.22218584,0.83683138968246,50,32,0.9965538489741258,False
Stxbp5,0.10659372,0.11837399,0.15109506,0.83683138968246,50,32,0.9965538489741258,False
Pik3c2b,0.12640084,0.15046489,0.25123838,0.83683138968246,50,32,0.9965538489741258,False
Ccdc84,0.0861723,0.12511976,0.537493,0.83683138968246,50,32,0.9965538489741258,False
Hpf1,0.11252239,0.1327577,0.23838812,0.83683138968246,50,32,0.9965538489741258,False
Klf10,0.11836826,0.1508747,0.34980628,0.83683138968246,50,32,0.9965538489741258,False
Zfp808,0.13671836,0.17347652,0.3433099,0.83683138968246,50,32,0.9965538489741258,False
Exoc7,0.103842966,0.12178083,0.22967903,0.83683138968246,50,32,0.9965538489741258,False
Neu2,0.12540117,0.17374137,0.4700706,0.83683138968246,50,32,0.9965538489741258,False
Ndufa8,0.13761146,0.1836251,0.41590008,0.83683138968246,50,32,0.9965538489741258,False
Ppargc1b,0.10858274,0.12833795,0.24094866,0.83683138968246,50,32,0.9965538489741258,False
Map2k7,0.09532671,0.13808796,0.53416693,0.83683138968246,50,32,0.9965538489741258,False
Cdkl5,0.103953876,0.14975904,0.52627534,0.83683138968246,50,32,0.9965538489741258,False
Amz2,0.11366176,0.13431838,0.24071477,0.83683138968246,50,32,0.9965538489741258,False
Jund,0.1176688,0.13969788,0.24738504,0.83683138968246,50,32,0.9965538489741258,False
Ddx27,0.11855258,0.11355089,-0.062134575,0.83683138968246,50,32,0.9965538489741258,False
Sirt5,0.09931129,0.13005517,0.38875097,0.83683138968246,50,32,0.9965538489741258,False
Capn2,0.13323614,0.1691041,0.3436966,0.83683138968246,50,32,0.9965538489741258,False
Gclc,0.6225781,0.67366755,0.11376442,0.8369296599732364,50,32,0.9965538489741258,False
Tead1,0.7865099,0.7966052,0.018397674,0.8369960205283219,50,32,0.9965538489741258,False
Hmgcr,0.45849115,0.46408632,0.017495565,0.8379800704577701,50,32,0.9965538489741258,False
Zfp53,0.4352211,0.38904032,-0.16178948,0.8379800704577701,50,32,0.9965538489741258,False
Slc17a2,0.4649984,0.42519706,-0.12906511,0.8379800704577701,50,32,0.9965538489741258,False
Dicer1,0.27778906,0.35388508,0.34917957,0.8380095536211543,50,32,0.9965538489741258,False
Lman2,0.22914946,0.27443674,0.26008078,0.8380095536211543,50,32,0.9965538489741258,False
Cyp3a13,0.46046793,0.5162188,0.16484816,0.8382586101448253,50,32,0.9965538489741258,False
Lrsam1,0.16524081,0.11210483,-0.559308,0.8390626390607616,50,32,0.9965538489741258,False
Ppp3cc,0.1940666,0.13072692,-0.5696356,0.8390626390607616,50,32,0.9965538489741258,False
Lage3,0.19688164,0.11008396,-0.8381469,0.8390626390607616,50,32,0.9965538489741258,False
Fancl,0.17519236,0.13097951,-0.41932094,0.8390626390607616,50,32,0.9965538489741258,False
Coq3,0.18263102,0.10328455,-0.82170093,0.8390626390607616,50,32,0.9965538489741258,False
Aatf,0.26202592,0.25766888,-0.024181938,0.8391316088810926,50,32,0.9965538489741258,False
Bend7,0.2736066,0.26104936,-0.06775506,0.8391316088810926,50,32,0.9965538489741258,False
Uhrf1bp1l,0.780569,0.7574257,-0.043416105,0.8392290809424159,50,32,0.9965538489741258,False
Psmc6,0.54873925,0.5988147,0.12596692,0.8395813285779895,50,32,0.9965538489741258,False
Bmpr2,0.38672653,0.41303807,0.094937354,0.8400393501132958,50,32,0.9965538489741258,False
E2f5,0.30134633,0.2516855,-0.259706,0.8400402919616944,50,32,0.9965538489741258,False
Xrcc6,0.17948122,0.15420508,-0.21885094,0.8403484665750709,50,32,0.9965538489741258,False
B130034C11Rik,0.13604741,0.18401884,0.4354677,0.8403484665750709,50,32,0.9965538489741258,False
Fnip2,0.4840461,0.45338073,-0.09440118,0.8406184356248528,50,32,0.9965538489741258,False
Ctdspl2,0.49402016,0.44201568,-0.16043808,0.8406745185405522,50,32,0.9965538489741258,False
Cyrib,0.5564073,0.5097005,-0.12646784,0.8406745185405522,50,32,0.9965538489741258,False
Tymp,0.5362333,0.48182234,-0.15432926,0.8406745185405522,50,32,0.9965538489741258,False
Hsp90aa1,0.22696441,0.2412392,0.08796065,0.8406897593866008,50,32,0.9965538489741258,False
Akap1,0.22253175,0.25419244,0.19182913,0.8406897593866008,50,32,0.9965538489741258,False
Kctd20,0.18245168,0.2166979,0.24804583,0.8406897593866008,50,32,0.9965538489741258,False
Tbcd,0.2373264,0.26047236,0.13420366,0.8406897593866008,50,32,0.9965538489741258,False
Xrcc5,0.2333367,0.28452364,0.28602397,0.8406897593866008,50,32,0.9965538489741258,False
Mmp15,0.2059525,0.18700156,-0.13919035,0.8410188439070264,50,32,0.9965538489741258,False
Ift140,0.18802112,0.15944342,-0.23771276,0.8410188439070264,50,32,0.9965538489741258,False
Abce1,0.20375484,0.16893929,-0.27018356,0.8410188439070264,50,32,0.9965538489741258,False
Naca,0.21024942,0.17747456,-0.244363,0.8410188439070264,50,32,0.9965538489741258,False
Cog3,0.23070171,0.18236484,-0.3390355,0.8410188439070264,50,32,0.9965538489741258,False
Emc9,0.0805068,0.103555664,0.3628255,0.8414742529853902,50,32,0.9965538489741258,False
Snx8,0.11581085,0.12615648,0.12334186,0.8414742529853902,50,32,0.9965538489741258,False
Ndufc2,0.07040329,0.09925284,0.4948706,0.8414742529853902,50,32,0.9965538489741258,False
Cdk4,0.079404384,0.11339191,0.51348317,0.8414742529853902,50,32,0.9965538489741258,False
Tti1,0.08038605,0.116331875,0.5326754,0.8414742529853902,50,32,0.9965538489741258,False
Yipf2,0.08161593,0.12096398,0.5670804,0.8414742529853902,50,32,0.9965538489741258,False
Zfp260,0.07295069,0.10641941,0.5441465,0.8414742529853902,50,32,0.9965538489741258,False
Ppm1g,0.090629034,0.11061664,0.28723583,0.8414742529853902,50,32,0.9965538489741258,False
Pqbp1,0.09763797,0.11384654,0.22136615,0.8414742529853902,50,32,0.9965538489741258,False
Hace1,0.07921531,0.09292501,0.23001926,0.8414742529853902,50,32,0.9965538489741258,False
Ksr1,0.11395321,0.12615648,0.1466504,0.8414742529853902,50,32,0.9965538489741258,False
Rpap3,0.11910288,0.115703516,-0.041740064,0.8414742529853902,50,32,0.9965538489741258,False
Asap3,0.08412367,0.11342768,0.43074644,0.8414742529853902,50,32,0.9965538489741258,False
Lncppara,0.410908,0.4434226,0.10984101,0.8420268373466796,50,32,0.9969651936904768,False
Heatr6,0.34377176,0.2824895,-0.28316274,0.8420792995692472,50,32,0.9969651936904768,False
Zfp609,0.4810688,0.47148335,-0.029030321,0.8430501013595104,50,32,0.9979618473406567,False
Virma,0.3841061,0.3096788,-0.310642,0.8439334795232257,50,32,0.9987562272905218,False
Colec12,0.55826944,0.64027166,0.19768944,0.8439793478125154,50,32,0.9987562272905218,False
Foxj3,0.2659654,0.28793126,0.11444453,0.8448025412060118,50,32,0.9992718638298294,False
Stk16,0.23764639,0.23707819,-0.003452035,0.8448025412060118,50,32,0.9992718638298294,False
Lmo4,0.2966963,0.28286368,-0.06885628,0.8448025412060118,50,32,0.9992718638298294,False
Apoc1,2.1578097,2.1699443,0.008090041,0.8454247741642118,50,32,0.9997789310839039,False
Atp2a2,0.5719563,0.55915505,-0.03265068,0.8456314186161421,50,32,0.9997789310839039,False
Aco2,0.2914181,0.31242296,0.10037665,0.8457481070110057,50,32,0.9997789310839039,False
Acacb,0.29537517,0.32752553,0.14901087,0.8457481070110057,50,32,0.9997789310839039,False
Golga1,0.42429292,0.46804598,0.14155789,0.8473839763389344,50,32,1.0,False
Atg12,0.13689333,0.21201041,0.6307097,0.8474883253689939,50,32,1.0,False
Cpd,0.1657033,0.23633477,0.5119695,0.8474883253689939,50,32,1.0,False
Hes1,0.49065766,0.43231928,-0.18257987,0.847675398877253,50,32,1.0,False
Cpsf6,0.8073136,0.7759708,-0.05711963,0.8492374291371263,50,32,1.0,False
Lgals8,0.5477122,0.47775558,-0.19710681,0.8493177742059654,50,32,1.0,False
Ube2d3,0.5221592,0.51129895,-0.0303168,0.8493177742059654,50,32,1.0,False
Acnat1,0.76816046,0.81794536,0.090585254,0.850445516336473,50,32,1.0,False
Clint1,0.6866193,0.6600783,-0.05686477,0.851488639426303,50,32,1.0,False
Rgl3,0.24145275,0.17636594,-0.4529485,0.8517463418122407,50,32,1.0,False
Tatdn1,0.2496793,0.18508174,-0.43171203,0.8517463418122407,50,32,1.0,False
Trim28,0.34245473,0.34770244,0.021933569,0.8520970445476941,50,32,1.0,False
Nucks1,0.38798344,0.40924606,0.07695419,0.8520970445476941,50,32,1.0,False
Tbce,0.34278888,0.3506668,0.03277101,0.8520970445476941,50,32,1.0,False
Sec23a,0.108988754,0.12491503,0.19659927,0.8521827930091724,50,32,1.0,False
Alg9,0.10878092,0.103746764,-0.06829492,0.8521827930091724,50,32,1.0,False
Sdhd,0.13453765,0.16509107,0.2950538,0.8521827930091724,50,32,1.0,False
Prmt7,0.09269863,0.10217053,0.14021489,0.8521827930091724,50,32,1.0,False
Gm30262,0.10818687,0.12209202,0.17429179,0.8521827930091724,50,32,1.0,False
Pomgnt1,0.11201236,0.12430629,0.15011418,0.8521827930091724,50,32,1.0,False
Rnf31,0.114653416,0.13355038,0.21992683,0.8521827930091724,50,32,1.0,False
Larp7,0.122993134,0.14262488,0.21348666,0.8521827930091724,50,32,1.0,False
Chrnb1,0.11814359,0.13128681,0.15205857,0.8521827930091724,50,32,1.0,False
2010315B03Rik,0.10618037,0.118822165,0.16214252,0.8521827930091724,50,32,1.0,False
