gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Akr1e1,0.16182442,0.11392639,-0.50595284,0.010448814860320416,1503,1879,0.049215795024718796,True
Ctsh,1.1612464,1.0690219,-0.119371966,0.010589063788210881,1503,1879,0.0498465444392979,False
Gm2788,0.26126775,0.19965066,-0.38788077,0.010615452294104427,1503,1879,0.0499408778381731,False
Tmem168,0.16299692,0.11890116,-0.45475388,0.01062578085098066,1503,1879,0.04995958886659526,False
Snd1,1.00312,1.0913538,0.12161303,0.0106649191245207,1503,1879,0.05011365223027468,False
Ccar2,0.07208978,0.09856414,0.45073125,0.010686088348323155,1503,1879,0.050183146834573096,False
Virma,0.32495192,0.37399128,0.20272021,0.010705121516669771,1503,1879,0.05024253332346326,False
Srpr,0.34057167,0.27767318,-0.29447466,0.010741482510147969,1503,1879,0.05037165183245165,False
Cnppd1,0.17709966,0.21796161,0.29935995,0.010753176496028674,1503,1879,0.05037165183245165,False
Txn2,0.22096367,0.16661994,-0.40703526,0.010756297221074827,1503,1879,0.05037165183245165,False
Mfsd4b1,0.06716115,0.09560861,0.5088752,0.0107582475309584,1503,1879,0.05037165183245165,False
Ppp6r2,0.2833915,0.32546946,0.19965991,0.0107808384078596,1503,1879,0.05044094673981587,False
Dpm3,0.101260796,0.06886146,-0.5556374,0.010785872414997493,1503,1879,0.05044094673981587,False
Ppp3cc,0.079006754,0.10471676,0.40599668,0.01079383125430425,1503,1879,0.050448173883753555,False
Gdap2,0.18677415,0.2382582,0.35106418,0.01080071429564437,1503,1879,0.05045036736908469,False
Trip4,0.34904966,0.40943414,0.23013818,0.010855641319088838,1503,1879,0.050676839534690085,False
BC004004,0.17400354,0.21820112,0.32637393,0.010871071857762904,1503,1879,0.05071877297340629,False
Aadac,0.52450395,0.44631368,-0.23284756,0.010888911093778217,1503,1879,0.05077188776743299,False
